,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster
PF3D7-1012400,9.19E-229,0.595308802,0.998,0.968,4.80E-225,PF3D7-1012400,0
PF3D7-1016300,2.16E-78,0.389043248,0.89,0.705,1.13E-74,PF3D7-1016300,0
PF3D7-0322000,2.50E-74,0.347403705,0.933,0.758,1.31E-70,PF3D7-0322000,0
PF3D7-0730900,2.54E-60,-0.380382754,0.583,0.756,1.32E-56,PF3D7-0730900,0
PF3D7-1408600,1.30E-49,0.251905358,0.957,0.877,6.79E-46,PF3D7-1408600,0
PF3D7-1105100,2.72E-44,0.27949756,0.971,0.933,1.42E-40,PF3D7-1105100,0
PF3D7-0608800,4.94E-55,0.317781231,0.998,0.987,2.58E-51,PF3D7-0608800,1
PF3D7-0202400,3.71E-40,0.511380302,0.751,0.447,1.94E-36,PF3D7-0202400,1
PF3D7-1121600,3.72E-35,0.258779869,0.998,0.98,1.94E-31,PF3D7-1121600,1
PF3D7-0424000,2.10E-34,0.518729194,0.456,0.216,1.10E-30,PF3D7-0424000,1
PF3D7-0401800,1.57E-31,-0.50531547,0.298,0.556,8.22E-28,PF3D7-0401800,1
PF3D7-1201000,4.88E-29,0.258387189,0.984,0.953,2.55E-25,PF3D7-1201000,1
PF3D7-1103100,2.87E-28,0.267192438,0.95,0.883,1.50E-24,PF3D7-1103100,1
PF3D7-0831400,5.98E-20,0.319703527,0.516,0.335,3.12E-16,PF3D7-0831400,1
PF3D7-0922500,3.19E-28,0.254994225,0.97,0.888,1.66E-24,PF3D7-0922500,2
PF3D7-0725600,1.39E-22,-0.296067115,0.888,0.95,7.24E-19,PF3D7-0725600,2
PF3D7-0531600,1.57E-22,-0.270463286,0.826,0.896,8.22E-19,PF3D7-0531600,2
PF3D7-0726000,1.99E-21,-0.275826995,0.999,0.997,1.04E-17,PF3D7-0726000,2
PF3D7-1001500,7.93E-09,0.256506187,0.869,0.764,4.15E-05,PF3D7-1001500,3
PF3D7-0532600,2.46E-05,-0.267176097,0.474,0.543,0.128720391,PF3D7-0532600,3
PF3D7-0617800,0.000172488,0.253092174,0.385,0.307,0.901075858,PF3D7-0617800,3
PF3D7-1372500,0.012403823,-0.271157094,0.073,0.109,1,PF3D7-1372500,3
PF3D7-1309100,6.48E-14,0.31297481,0.954,0.885,3.38E-10,PF3D7-1309100,4
PF3D7-0532000,5.14E-10,-0.469767048,0.954,0.99,2.68E-06,PF3D7-0532000,4
PF3D7-0304400,1.99E-08,0.263892048,0.793,0.628,0.000103771,PF3D7-0304400,4
PF3D7-0802200,1.79E-11,0.322235527,0.678,0.397,9.37E-08,PF3D7-0802200,5
PF3D7-0617900,7.01E-08,0.30961102,0.913,0.758,0.000366045,PF3D7-0617900,5
PF3D7-1239200,4.46E-06,0.312695238,0.667,0.473,0.023295391,PF3D7-1239200,5
PF3D7-0525000,1.21E-05,-0.319274614,0.35,0.5,0.063389112,PF3D7-0525000,5
PF3D7-1302800,0.000132896,0.250724199,0.754,0.594,0.694249837,PF3D7-1302800,5
PF3D7-1436300,0.00106786,-0.26381039,0.344,0.452,1,PF3D7-1436300,5
PF3D7-1140700,0.00210468,-0.256121766,0.557,0.63,1,PF3D7-1140700,5
PF3D7-1105400,2.17E-05,0.341426027,0.965,0.879,0.113153665,PF3D7-1105400,6
PF3D7-1342000,2.74E-05,0.325615549,0.986,0.848,0.143065339,PF3D7-1342000,6
PF3D7-0507100,3.36E-05,0.356782028,0.958,0.818,0.175511346,PF3D7-0507100,6
PF3D7-1015900,0.000201335,0.322436892,0.938,0.758,1,PF3D7-1015900,6
PF3D7-1134100,0.00070674,0.254602589,0.694,0.303,1,PF3D7-1134100,6
PF3D7-1433700,0.003045937,-0.284668598,0.486,0.606,1,PF3D7-1433700,6
PF3D7-0217800,0.003515576,0.277138048,0.854,0.727,1,PF3D7-0217800,6
PF3D7-1402500,0.006949947,0.263807322,0.875,0.758,1,PF3D7-1402500,6
PF3D7-0921700,0.007742697,-0.260692733,0.701,0.818,1,PF3D7-0921700,6
PF3D7-1342900,0.007984959,-0.254928505,0.396,0.576,1,PF3D7-1342900,6
PF3D7-0402000,0.024163883,-0.289966473,0.854,0.818,1,PF3D7-0402000,6
PF3D7-1478900,0.061537203,-0.574556646,0.056,0.152,1,PF3D7-1478900,6
PF3D7-1370800,0.446693759,0.431882206,0.208,0.152,1,PF3D7-1370800,6
PF3D7-1228600,0.540858885,-0.352602318,0.09,0.121,1,PF3D7-1228600,6
PF3D7-0207600,0.872870429,-0.53301678,0.264,0.212,1,PF3D7-0207600,6
PF3D7-1142500,0.000207133,0.317958692,0.444,0.153,1,PF3D7-1142500,7
PF3D7-1118200,0.001168959,0.276269092,0.486,0.222,1,PF3D7-1118200,7
PF3D7-1224300,0.001463681,0.324246315,0.361,0.139,1,PF3D7-1224300,7
PF3D7-0307200,0.001629459,0.312270386,0.597,0.306,1,PF3D7-0307200,7
PF3D7-1451100,0.001982871,0.301514427,0.556,0.278,1,PF3D7-1451100,7
PF3D7-0520000,0.002868248,0.256317361,0.625,0.333,1,PF3D7-0520000,7
PF3D7-1102500,0.003633732,0.300646674,0.792,0.514,1,PF3D7-1102500,7
PF3D7-0704100,0.004050746,0.300605354,0.222,0.056,1,PF3D7-0704100,7
PF3D7-0320900,0.00667012,0.252619264,0.403,0.194,1,PF3D7-0320900,7
PF3D7-1363000,0.007392039,-0.291087575,0.097,0.25,1,PF3D7-1363000,7
PF3D7-0511500,0.009046998,0.265804351,0.958,0.847,1,PF3D7-0511500,7
PF3D7-0606100,0.014214871,-0.278857986,0.306,0.444,1,PF3D7-0606100,7
PF3D7-1424100,0.023438105,0.273625742,0.611,0.444,1,PF3D7-1424100,7
PF3D7-1104000,0.028380739,0.254499263,0.472,0.292,1,PF3D7-1104000,7
PF3D7-1317300,0.030788839,-0.264726535,0.236,0.347,1,PF3D7-1317300,7
PF3D7-1321300,0.034816299,-0.284950777,0.181,0.306,1,PF3D7-1321300,7
PF3D7-1442400,0.037249013,-0.329821398,0.417,0.528,1,PF3D7-1442400,7
PF3D7-1329100,0.037963986,-0.366555105,0.375,0.458,1,PF3D7-1329100,7
PF3D7-1450700,0.040151723,-0.25002138,0.222,0.333,1,PF3D7-1450700,7
PF3D7-0215400,0.04019517,0.262806808,0.278,0.139,1,PF3D7-0215400,7
PF3D7-0629700,0.048453907,0.271880638,0.597,0.403,1,PF3D7-0629700,7
PF3D7-1021700,0.054585142,0.269955806,0.639,0.486,1,PF3D7-1021700,7
PF3D7-1250800,0.07028354,-0.297314927,0.222,0.319,1,PF3D7-1250800,7
PF3D7-1134700,0.100019421,-0.258842169,0.208,0.292,1,PF3D7-1134700,7
PF3D7-1469600,0.206628221,-0.254200857,0.181,0.264,1,PF3D7-1469600,7
PF3D7-1427000,0.211439137,-0.268629631,0.181,0.236,1,PF3D7-1427000,7
PF3D7-0105700,0.350269059,-0.298083679,0.347,0.375,1,PF3D7-0105700,7
PF3D7-0113400,0.401805406,-0.284738381,0.153,0.194,1,PF3D7-0113400,7
PF3D7-1244300,0.55960848,-0.455663204,0.222,0.236,1,PF3D7-1244300,7
PF3D7-1418800,0.607640485,-0.35995104,0.181,0.194,1,PF3D7-1418800,7
PF3D7-0628100,0.68727661,-0.275354589,0.194,0.153,1,PF3D7-0628100,7
